area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,19-Dec,2 BHK,Coomee ,1056,2.0,1.0,39.07,Alandi Road
Plot  Area,Ready To Move,4 Bedroom,Theanmp,2600,4.5,3.0,120.0,Ambegaon Budruk
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1440,2.0,3.0,62.0,Anandnagar
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1521,3.0,1.0,95.0,Aundh
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,1.0,51.0,Aundh Road
Super built-up  Area,Ready To Move,2 BHK,DuenaTa,1170,2.0,1.0,38.0,Balaji Nagar
Super built-up  Area,18-May,4 BHK,Jaades ,2732,4.0,2.0,204.0,Baner
Super built-up  Area,Ready To Move,4 BHK,Brway G,3300,4.0,2.0,225.0,Baner road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1310,3.0,1.0,63.25,Bhandarkar Road
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1020,4.5,2.0,225.0,Bhavani Peth
Super built-up  Area,18-Feb,3 BHK,GrrvaGr,1800,2.0,2.0,70.0,Bibvewadi
Plot  Area,Ready To Move,4 Bedroom,Prrry M,2785,4.5,3.0,225.0,Bopodi
Super built-up  Area,Ready To Move,2 BHK,Shncyes,1000,2.0,1.0,38.0,Budhwar Peth
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1100,2.0,2.0,40.0,Bund Garden Road
Plot  Area,Ready To Move,3 Bedroom,Skityer,2250,3.0,2.0,148.0,Camp
Super built-up  Area,Ready To Move,2 BHK,PrntaEn,1175,2.0,2.0,73.5,Chandan Nagar
Super built-up  Area,Ready To Move,3 BHK,Prityel,1180,3.0,2.0,48.0,Dapodi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,Deccan Gymkhana
Super built-up  Area,Ready To Move,3 BHK,PeBayle,2770,4.0,2.0,225.0,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1100,2.0,2.0,48.0,Dhankawadi
Built-up  Area,Ready To Move,1 BHK,GrrvaGr,600,1.0,1.0,15.0,Dhayari Phata
Super built-up  Area,19-Dec,3 BHK,She 2rk,1755,3.0,1.0,122.0,Dhole Patil Road
Plot  Area,Ready To Move,4 Bedroom,Soitya ,2800,4.5,2.0,225.0,Erandwane
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1767,3.0,1.0,103.0,Fatima Nagar
Super built-up  Area,18-Nov,1 RK,Bhe 2ko,510,1.0,0.0,25.25,Fergusson College Road
Super built-up  Area,18-May,3 BHK,GrrvaGr,1250,3.0,2.0,56.0,Ganesh Peth
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,660,1.0,1.0,23.1,Ganeshkhind
Built-up  Area,20-Dec,3 BHK,GrrvaGr,1610,3.0,2.0,81.0,Ghorpade Peth
Super built-up  Area,17-Oct,2 BHK,ViistLa,1151,2.0,2.0,48.77,other
Super built-up  Area,Ready To Move,3 BHK,KBityo ,1025,2.0,1.0,47.0,Gokhale Nagar
Super built-up  Area,19-Dec,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,Gultekdi
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2.0,1.0,35.0,Guruwar peth
Super built-up  Area,Ready To Move,3 BHK,Mahosya,1760,2.0,2.0,123.0,Hadapsar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,Hadapsar Industrial Estate
Built-up  Area,Ready To Move,3 BHK,Kantsce,1925,3.0,2.0,125.0,Hingne Khurd
Super built-up  Area,21-Dec,2 BHK,PrarePa,700,2.0,1.0,36.0,Jangali Maharaj Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1070,2.0,1.0,45.5,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,Dieldli,1724,3.0,2.0,125.0,Karve Nagar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1290,2.0,2.0,56.12,Karve Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1143,2.0,2.0,45.0,Kasba Peth
Built-up  Area,Ready To Move,2 BHK,Gentson,1296,2.0,2.0,81.0,Katraj
Super built-up  Area,19-Dec,3 BHK,Soini T,1254,3.0,2.0,38.0,Khadaki
Super built-up  Area,Ready To Move,1 BHK,Ceove G,600,1.0,0.0,38.0,Khadki
Plot  Area,Ready To Move,1 Bedroom,GrrvaGr,660,1.0,0.0,48.0,Kharadi
Super built-up  Area,19-Sep,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,Kondhwa
Plot  Area,Ready To Move,8 Bedroom,GrrvaGr,600,4.5,2.0,200.0,Kondhwa Budruk
Super built-up  Area,Ready To Move,2 BHK,LancyRe,970,2.0,0.0,33.0,Kondhwa Khurd
Super built-up  Area,20-Sep,2 BHK,Goted U,1459,2.0,1.0,94.82,Koregaon Park
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,800,1.0,1.0,130.0,Kothrud
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,869,2.0,1.0,36.0,Law College Road
Super built-up  Area,Ready To Move,2 BHK,Bhncyis,1270,2.0,1.0,50.0,Laxmi Road
Super built-up  Area,18-Mar,3 BHK,Rosha I,1670,3.0,1.0,99.0,Lulla Nagar
Built-up  Area,Ready To Move,3 BHK,Suent V,2010,3.0,2.0,91.0,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,2 BHK,RothaVa,1185,2.0,2.0,75.0,Mangalwar peth
Super built-up  Area,Ready To Move,3 BHK,NCowsar,1600,2.0,3.0,75.0,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,Market yard
Built-up  Area,20-Feb,4 Bedroom,BrereAt,3010 - 3410,2.0,2.0,192.0,Model colony
Super built-up  Area,Ready To Move,2 BHK,PeBayle,1500,2.0,2.0,185.0,Mukund Nagar
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1407,4.0,1.0,150.0,Mundhawa
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,840,2.0,2.0,45.0,Nagar Road
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,4395,3.0,2.0,225.0,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,Laavevi,845,2.0,1.0,55.0,Narayan Peth
Plot  Area,Ready To Move,4 Bedroom,Chranya,5700,4.5,3.0,225.0,Narayangaon
Built-up  Area,Ready To Move,2 BHK,HioraTr,1160,2.0,2.0,44.0,Navi Peth
Built-up  Area,Ready To Move,8 Bedroom,GrrvaGr,3000,4.5,0.0,140.0,Padmavati
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1100,2.0,1.0,62.0,Parvati Darshan
Super built-up  Area,18-Apr,2 BHK,BMineis,1140,2.0,3.0,43.0,Pashan
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1220,2.0,1.0,57.0,Paud Road
Plot  Area,Ready To Move,8 Bedroom,GrrvaGr,1350,4.5,0.0,85.0,Pirangut
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1005,2.0,1.0,36.68,Prabhat Road
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,500,3.0,2.0,100.0,Pune Railway Station
Super built-up  Area,20-Aug,2 BHK,Pruthg ,1358,2.0,1.0,80.58,Rasta Peth
Super built-up  Area,Ready To Move,3 BHK,Sonosty,1569,3.0,1.0,101.0,Raviwar Peth
Super built-up  Area,18-Apr,2 BHK,SNnia E,1240,2.0,1.0,70.0,Sadashiv Peth
Super built-up  Area,Ready To Move,3 BHK,Anavi B,2089,3.0,2.0,140.0,Sahakar Nagar
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1206,2.0,1.0,48.23,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1150,2.0,3.0,40.0,Sasson Road
Built-up  Area,Ready To Move,3 BHK,Viony H,2511,3.0,3.0,205.0,Satara Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,460,1.0,0.0,22.0,Senapati Bapat Road
Built-up  Area,Ready To Move,6 Bedroom,GrrvaGr,4400,4.5,3.0,225.0,Shaniwar Peth
Super built-up  Area,Ready To Move,3 BHK,AdentEl,1660,2.0,2.0,105.0,Shivaji Nagar
Built-up  Area,18-Oct,4 Bedroom,Gollela,2957 - 3450,2.0,2.0,224.5,Shukrawar Peth
Super built-up  Area,19-Mar,2 BHK,Niareum,1326,2.0,2.0,78.0,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1325,2.0,2.0,60.8,Somwar Peth
Super built-up  Area,Ready To Move,3 BHK,SJlynro,1499,4.5,2.0,102.0,Swargate
Built-up  Area,Ready To Move,6 Bedroom,GrrvaGr,3000,4.5,2.0,210.0,Tilak Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1665,3.0,2.0,88.0,Uruli Devachi
Super built-up  Area,17-Sep,2 BHK,Tavenew,708,2.0,2.0,37.0,Vadgaon Budruk
Super built-up  Area,Ready To Move,2 BHK,Srire S,1060,2.0,2.0,58.06,Wadgaon Sheri
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,710,4.5,3.0,160.0,Viman Nagar
Built-up  Area,Ready To Move,2 BHK,Saenti ,1000,2.0,2.0,70.0,Vishrant Wadi
Super built-up  Area,18-Dec,2 BHK,GrrvaGr,1000,2.0,1.0,28.88,Wagholi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1450,2.0,2.0,70.0,Wakadewadi
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,2.0,155.0,Wanowrie
Super built-up  Area,17-Aug,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,Warje
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1540,3.0,2.0,90.0,Yerawada
Plot  Area,Ready To Move,4 Bedroom,Goardth,2894,4.0,1.0,225.0,Alandi Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1330,2.0,1.0,48.0,Ambegaon Budruk
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,1.0,65.0,Anandnagar
Built-up  Area,Ready To Move,3 Bedroom,GrrvaGr,1200,3.0,1.0,90.0,Aundh
Super built-up  Area,Ready To Move,3 BHK,IBityin,2502,3.0,3.0,138.0,Aundh Road
Built-up  Area,Ready To Move,2 BHK,KHityry,650,1.0,1.0,17.0,Balaji Nagar
Plot  Area,Ready To Move,3 Bedroom,BDensar,2400,2.0,1.0,150.0,Baner
Super built-up  Area,Ready To Move,2 BHK,Makeser,1007,2.0,2.0,43.0,Baner road
Super built-up  Area,Ready To Move,2 BHK,Maest N,1200,2.0,2.0,50.0,Bhandarkar Road
